,0
275,52.723175
276,148.84976
277,124.53126
278,287.1551
279,331.3065
280,125.16205
281,194.38875
282,126.1555
283,196.52736
284,152.74983
285,100.154106
286,1216.4989
287,420.60205
288,31.660082
289,232.84541
290,323.87653
291,273.47208
292,133.497
293,187.08505
294,225.56792
295,193.43935
296,462.73682
297,308.69513
298,297.08716
299,466.72498
300,134.7376
301,179.37404
302,218.53433
303,227.06853
304,308.01553
305,127.844986
306,262.39038
307,4.46644
308,385.60657
309,99.10842
310,246.53444
311,218.64467
312,215.54646
313,144.73758
314,233.27101
315,299.49744
316,11.042367
317,301.65393
318,317.7876
319,195.05714
320,441.68097
321,79.266914
322,183.03682
323,95.33667
324,274.9051
325,113.12892
326,98.54192
327,75.988495
328,79.48327
329,40.391914
330,57.207397
331,144.54723
332,229.17067
333,290.11328
334,231.40672
335,107.953545
336,194.77872
337,270.56326
338,33.98048
339,189.05925
340,297.50034
341,494.45334
342,353.2984
343,208.91086
344,82.50137
345,46.67892
346,219.74026
347,264.33325
348,41.56519
349,80.14083
350,217.33907
351,278.5041
352,85.29158
353,233.48613
354,129.87282
355,180.268
356,324.15256
357,240.19229
358,100.12794
359,548.99005
360,138.32018
361,46.811615
362,114.17344
363,279.2418
364,288.8556
365,143.31761
366,378.3213
367,16.18965
368,175.29115
369,222.49513
370,280.9525
371,334.40125
372,200.23216
373,205.83324
374,262.15546
375,129.9233
376,282.90582
377,477.13812
378,404.98523
379,103.090385
380,222.90143
381,95.89647
382,307.68365
383,291.16815
384,15.779075
385,380.83136
386,239.30193
387,333.6983
388,140.19467
389,274.52786
390,124.32239
391,172.68318
392,275.0527
393,146.49698
394,382.15005
395,283.32843
396,84.017845
397,344.71783
398,148.18317
399,331.38794
400,59.5176
401,145.82587
402,281.58997
403,379.09912
404,447.53265
405,86.09788
406,360.89197
407,333.57257
408,93.048065
409,297.43463
410,111.815254
411,84.089066
412,117.45345
413,71.429565
414,183.24425
415,78.30735
416,56.71291
417,207.05162
418,343.80618
419,169.33109
420,16.227602
421,291.44385
422,167.76022
423,47.932884
424,56.51281
425,23.11765
426,210.97919
427,213.9323
428,119.84199
429,26.770697
430,253.85027
431,84.939
432,97.99453
433,373.5702
434,79.419624
435,7.577666
436,430.893
437,205.53844
438,236.393
439,123.85202
440,149.28307
441,57.014877
442,202.8791
443,47.589966
444,127.11674
445,396.80884
446,109.15571
447,126.86329
448,285.29883
449,200.91417
450,190.28873
451,246.21014
452,356.46204
453,273.0345
454,46.651707
455,165.87395
456,44.496986
457,164.92822
458,270.30573
459,316.365
460,388.36765
461,138.91795
462,255.6591
463,216.95204
464,170.75673
465,182.50652
466,292.83856
467,89.782585
468,71.61885
469,389.5506
470,93.56001
471,138.67468
472,146.22546
473,180.49318
474,247.86256
475,253.53214
476,161.40508
477,68.854805
478,406.90765
479,512.0804
480,224.56209
481,98.6397
482,263.5047
483,198.7865
484,167.23323
485,505.3711
486,221.25316
487,175.2903
488,-6.5661054
489,86.77589
490,41.801117
491,303.6919
492,141.48878
493,375.90906
494,130.70647
495,224.10027
496,323.99146
497,69.666695
498,230.10683
499,154.17625
500,249.90897
501,170.46779
502,225.55707
503,154.14041
504,209.58736
505,223.6386
506,43.74447
507,78.98391
508,66.08704
509,265.3747
510,146.41179
511,209.70842
512,216.49704
513,338.37518
514,238.41438
515,147.90538
516,73.44872
517,222.39862
518,164.25346
519,268.92685
520,99.941086
521,43.006027
522,427.89026
523,61.56742
524,203.96733
525,58.28099
526,69.37692
527,153.98645
528,549.8376
529,162.17848
530,93.88947
531,216.37566
532,282.4856
533,174.59383
534,300.8622
535,99.90412
536,470.5628
537,83.29554
538,199.53685
539,292.91687
540,254.48033
541,533.7929
542,218.10463
543,131.7458
544,484.43323
545,130.79295
546,101.969185
547,247.36813
548,83.81301
549,300.4231
550,57.096344
551,146.56319
552,220.09218
553,87.952126
554,148.06268
555,200.51247
556,34.24558
557,136.24625
558,132.30624
559,410.6334
560,272.02148
561,288.312
562,216.75908
563,184.68959
564,68.04108
565,77.4087
566,108.836525
567,148.44855
568,73.10963
569,74.33233
570,171.81703
571,67.89008
572,84.72331
573,287.4457
574,141.85074
575,101.1139
576,171.5175
577,100.03278
578,137.9468
579,42.753616
580,218.52948
581,369.40045
582,99.126915
583,165.13045
584,308.7516
585,57.846428
586,267.58823
587,646.92786
588,79.87453
589,240.22125
590,200.98146
591,83.64052
592,187.78294
593,119.59646
594,369.7434
595,337.50833
596,265.0002
597,101.27851
598,102.55932
599,248.14867
600,75.878
601,78.32903
602,227.2401
603,235.48674
604,260.1123
605,287.70496
606,401.62274
607,260.33615
608,226.00774
609,125.588234
610,362.32907
611,184.80443
612,100.477455
613,62.89537
614,89.495125
615,66.827065
616,40.126316
617,329.07755
